name,category,url
Black Crossbody Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954709/Black_Crossbody_Bag_ki73xo.png
Black Derby Shoes,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954709/Black_Derby_Shoes_vbodoz.png
Black Backpack,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954708/Black_Backpack_xusgw6.png
Berry Pleated Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954708/Berry_Pleated_Skirt_te1xza.png
black corduroy pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954708/black_corduroy_pants_iwpimn.jpg
Black Aviators,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954708/Black_Aviators_rwu4gi.png
Berry Peplum Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954708/Berry_Peplum_Top_iz388u.jpg
Berry Necktie,Scarves & Ties,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Berry_Necktie_ozuaxl.png
Berry Henley,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Berry_Henley_buplvv.jpg
Berry cardigan,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Berry_cardigan_pngfdm.jpg
Beige Wool Coat,Coats,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Beige_Wool_Coat_fptkdk.png
BeigeTote Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/BeigeTote_Bag_bp7qk1.png
Beige Wide-Leg Jumpsuit,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Beige_Wide-Leg_Jumpsuit_awnnsh.png
Beige Scarf,Scarves & Ties,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Beige_Scarf_dhmtcr.png
Beige Strappy Heels,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954691/Beige_Strappy_Heels_ntp27b.png
Beige Leather Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954690/Beige_Leather_Jacket_ffwqhk.png
beige jeans,Jeans & Denim,https://res.cloudinary.com/dipchhasm/image/upload/v1760954671/beige_jeans_hh7was.jpg
Beige Chino,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954671/Beige_Chino_zurhpk.jpg
Beige Dress Shirt,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954671/Beige_Dress_Shirt_iesqwz.jpg
beige chino shorts,Shorts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/beige_chino_shorts_en6qft.jpg
Beige Casual Loafers,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Beige_Casual_Loafers_pjqzae.png
White Ballet Flats,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/White_Ballet_Flats_t8aoin.png
Army Green V-Neck Jumpsuit,Jumpsuits & Rompers,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Army_Green_V-Neck_Jumpsuit_unfuga.png
Warm red polo,Shirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Warm_red_polo_cglo7g.jpg
Warm Ivory Evening Clutch,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Warm_Ivory_Evening_Clutch_erudrt.png
Warm Ivory Tee,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Warm_Ivory_Tee_i54vtr.jpg
Warm Ivory Sleeveless Cocktail Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954670/Warm_Ivory_Sleeveless_Cocktail_Dress_tnp4mv.png
Warm Ivory Blouse,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954661/Warm_Ivory_Blouse_fb1qe9.jpg
Warm Beige Slacks,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954660/Warm_Beige_Slacks_la6xxj.jpg
Warm Beige Shoulder Bag,Bags & Accessories,https://res.cloudinary.com/dipchhasm/image/upload/v1760954658/Warm_Beige_Shoulder_Bag_pkp9hg.png
Warm Beige High-Waist Skirt,Skirts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954658/Warm_Beige_High-Waist_Skirt_l8vfil.png
Warm beige cardigan,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954658/Warm_beige_cardigan_czekki.jpg
Tobacco Brown Jeans,Jeans & Denim,https://res.cloudinary.com/dipchhasm/image/upload/v1760954649/Tobacco_Brown_Jeans_tf3zxl.jpg
Terracotta sweater,Sweaters & Knits,https://res.cloudinary.com/dipchhasm/image/upload/v1760954640/Terracotta_sweater_ovjl1k.jpg
Terracotta Wrap Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954640/Terracotta_Wrap_Top_l8qcun.jpg
Terracotta Shorts,Shorts,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Shorts_yrnnkp.jpg
Terracotta Mules,Shoes,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Mules_mkvmt7.png
Terracotta Midi Dress,Dresses,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Midi_Dress_mzqr8b.jpg
Terracotta Denim Jacket,Blazers & Jackets,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Denim_Jacket_owtqol.png
Teal Wrap Top,Blouses & Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Teal_Wrap_Top_uqvetv.jpg
Terracotta Graphic Shirt,T-Shirts & Casual Tops,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Graphic_Shirt_ct0dcy.jpg
Terracotta Dress Pants,Trousers & Pants,https://res.cloudinary.com/dipchhasm/image/upload/v1760954639/Terracotta_Dress_Pants_dqbbjy.jpg
